alumni_id,full_name,first_name,last_name,graduation_year,degree_earned,major_academic_program,current_company,job_title,email_address,phone_number,brochure_feature_consent,brochure_feature_consent_encoded,match_score,match_percentage
ALU0985,Siddharth Mehta,Siddharth,Mehta,2017,B.Tech,Computer Science and Engineering,Walmart Global Tech,DevOps Engineer,siddharth.mehta985@outlook.com,+91 8892611654,No,0,0.6875,68.75
ALU0264,Pranav Menon,Pranav,Menon,2022,M.Tech,Computer Science (Data Science),EY,Machine Learning Engineer,pranav.menon264@outlook.com,+91 8592165525,No,0,0.6845238095238095,68.45
ALU0517,Charan Mehta,Charan,Mehta,2025,B.Tech,Computer Science (Data Science),Cognizant,Senior Software Engineer,charan.mehta517@proton.me,+91 7378561387,Yes,1,0.6842687074829932,68.43
ALU0916,Ravi Singh,Ravi,Singh,2024,MCA,Mechanical Engineering,Walmart Global Tech,Machine Learning Engineer,ravi.singh916@yahoo.com,+91 8944409357,No,0,0.6791666666666667,67.92
ALU0444,Bhavana Das,Bhavana,Das,2024,B.Tech,Computer Science and Engineering,SAP,Frontend Developer,bhavana.das444@proton.me,+91 9129594795,Yes,1,0.6741279069767441,67.41
ALU0068,Pooja Verma,Pooja,Verma,2025,B.Tech,Computer Science and Engineering,TCS,Full Stack Developer,pooja.verma68@outlook.com,+91 7087531510,Yes,1,0.6691666666666667,66.92
ALU0689,Rohit Verma,Rohit,Verma,2025,MCA,Electronics and Communication Engineering,KPMG,Machine Learning Engineer,rohit.verma689@outlook.com,+91 8345483676,Yes,1,0.6686643835616439,66.87
ALU0834,Swathi Naidu,Swathi,Naidu,2019,B.E.,Computer Engineering,EY,Machine Learning Engineer,swathi.naidu834@proton.me,+91 7566590088,Yes,1,0.6682692307692307,66.83
ALU0210,Rahul Rao,Rahul,Rao,2020,MCA,Computer Engineering,Accenture,Machine Learning Engineer,rahul.rao210@outlook.com,+91 9003484425,Yes,1,0.6682692307692307,66.83
ALU0417,Sahana Rao,Sahana,Rao,2019,MBA,Computer Engineering,IBM,Machine Learning Engineer,sahana.rao417@gmail.com,+91 7954571559,No,0,0.6682692307692307,66.83
ALU0591,Varun Mehta,Varun,Mehta,2015,B.Sc,Computer Engineering,Infosys,Machine Learning Engineer,varun.mehta591@outlook.com,+91 8403731150,Yes,1,0.6682692307692307,66.83
ALU0430,Rakesh Bhat,Rakesh,Bhat,2021,B.Tech,Computer Engineering,HCLTech,Senior Software Engineer,rakesh.bhat430@outlook.com,+91 7882593929,Yes,1,0.6680141287284145,66.8
ALU0017,Tarun Gupta,Tarun,Gupta,2022,B.Tech,Computer Science (Data Science),Oracle,Cloud Engineer,tarun.gupta17@outlook.com,+91 7248786714,Yes,1,0.6601648351648352,66.02
ALU0854,Deepak Naidu,Deepak,Naidu,2021,B.Tech,Computer Science (Data Science),Amazon,Cloud Engineer,deepak.naidu854@yahoo.com,+91 9522040814,No,0,0.6601648351648352,66.02
ALU0250,Riya Mehta,Riya,Mehta,2021,B.Tech,Computer Engineering,Cognizant,Systems Engineer,riya.mehta250@gmail.com,+91 7766538381,No,0,0.650891181988743,65.09
ALU0915,Lakshmi Das,Lakshmi,Das,2024,B.Tech,Artificial Intelligence and Machine Learning,Wipro,QA Engineer,lakshmi.das915@gmail.com,+91 7599793329,No,0,0.6505116959064328,65.05
ALU0624,Rohit Mishra,Rohit,Mishra,2018,M.Tech,Computer Science (Data Science),HCLTech,Machine Learning Engineer,rohit.mishra624@outlook.com,+91 7530618370,Yes,1,0.6470238095238096,64.7
ALU0528,Aditi Iyer,Aditi,Iyer,2018,B.Sc,Computer Science (Data Science),Microsoft,Machine Learning Engineer,aditi.iyer528@gmail.com,+91 9381780551,Yes,1,0.6470238095238096,64.7
ALU0188,Pranav Shetty,Pranav,Shetty,2021,MBA,Civil Engineering,Microsoft,Machine Learning Engineer,pranav.shetty188@outlook.com,+91 9131176633,No,0,0.6464285714285714,64.64
ALU0623,Deepak Mishra,Deepak,Mishra,2023,B.E.,Electrical and Electronics Engineering,Amazon,Machine Learning Engineer,deepak.mishra623@proton.me,+91 7106996713,Yes,1,0.6464285714285714,64.64
ALU0110,Siddharth Kumar,Siddharth,Kumar,2024,B.Tech,Electronics and Communication Engineering,SAP,Cloud Engineer,siddharth.kumar110@outlook.com,+91 7388176285,No,0,0.6443054092026694,64.43
ALU0919,Madhav Mehta,Madhav,Mehta,2023,B.Tech,Computer Science (Data Science),PwC,Software Engineer,madhav.mehta919@proton.me,+91 9887274233,Yes,1,0.644047619047619,64.4
ALU0961,Pranav Kumar,Pranav,Kumar,2023,B.E.,Mechanical Engineering,Capgemini,Machine Learning Engineer,pranav.kumar961@yahoo.com,+91 8300153521,No,0,0.6416666666666666,64.17
ALU0583,Siddharth Chowdhury,Siddharth,Chowdhury,2022,B.Sc,Mechanical Engineering,PwC,Machine Learning Engineer,siddharth.chowdhury583@yahoo.com,+91 8771000941,No,0,0.6416666666666666,64.17
ALU0310,Neha Bhat,Neha,Bhat,2024,B.Tech,Mechanical Engineering,TCS,Senior Software Engineer,neha.bhat310@outlook.com,+91 7838070464,No,0,0.6414115646258503,64.14
ALU0884,Harish Sharma,Harish,Sharma,2023,MCA,Artificial Intelligence and Machine Learning,KPMG,Machine Learning Engineer,harish.sharma884@outlook.com,+91 7100595644,Yes,1,0.6407894736842106,64.08
ALU0835,Neha Menon,Neha,Menon,2021,B.E.,Artificial Intelligence and Machine Learning,Accenture,Machine Learning Engineer,neha.menon835@gmail.com,+91 7549203872,No,0,0.6407894736842106,64.08
ALU0680,Swathi Naidu,Swathi,Naidu,2024,B.Tech,Artificial Intelligence and Machine Learning,Bosch,Software Engineer,swathi.naidu680@yahoo.com,+91 9082029167,Yes,1,0.6378132832080201,63.78
ALU0649,Rohit Mehta,Rohit,Mehta,2023,B.Tech,Computer Science and Engineering,Tech Mahindra,Software Developer,rohit.mehta649@gmail.com,+91 8431468604,No,0,0.6366279069767441,63.66
ALU0622,Ravi Nair,Ravi,Nair,2024,B.Tech,Computer Engineering,Cognizant,Associate Consultant,ravi.nair622@proton.me,+91 7388440314,Yes,1,0.635491452991453,63.55
ALU0832,Amar Patel,Amar,Patel,2023,B.Tech,Computer Science and Engineering,LTIMindtree,Full Stack Developer,amar.patel832@proton.me,+91 8521714121,Yes,1,0.6316666666666666,63.17
ALU0608,Priya Reddy,Priya,Reddy,2023,B.Sc,Electronics and Communication Engineering,Cognizant,Machine Learning Engineer,priya.reddy608@proton.me,+91 9821500440,Yes,1,0.6311643835616438,63.12
ALU0233,Rakesh Pillai,Rakesh,Pillai,2022,MBA,Electronics and Communication Engineering,Tech Mahindra,Machine Learning Engineer,rakesh.pillai233@yahoo.com,+91 9774110439,Yes,1,0.6311643835616438,63.12
ALU0406,Varun Patel,Varun,Patel,2025,B.Tech,Electronics and Communication Engineering,Oracle,Senior Software Engineer,varun.patel406@proton.me,+91 7762716154,No,0,0.6309092815208275,63.09
ALU0533,Madhav Mishra,Madhav,Mishra,2017,B.Tech,Computer Engineering,Amazon,Senior Software Engineer,madhav.mishra533@gmail.com,+91 9158114593,No,0,0.6305141287284145,63.05
ALU0871,Arjun Chowdhury,Arjun,Chowdhury,2018,B.Tech,Computer Engineering,Deloitte,Senior Software Engineer,arjun.chowdhury871@yahoo.com,+91 8461681371,No,0,0.6305141287284145,63.05
ALU0251,Shreya Rao,Shreya,Rao,2018,B.Tech,Computer Science and Engineering,Tech Mahindra,Associate Consultant,shreya.rao251@proton.me,+91 9284637470,No,0,0.6297222222222222,62.97
ALU0299,Anil Nair,Anil,Nair,2021,B.Tech,Computer Science (Data Science),Cognizant,Systems Engineer,anil.nair299@yahoo.com,+91 8473460179,No,0,0.6296457607433217,62.96
ALU0124,Tejas Verma,Tejas,Verma,2025,B.Tech,Civil Engineering,Tech Mahindra,Project Engineer,tejas.verma124@gmail.com,+91 7600337712,Yes,1,0.6290505226480836,62.91
ALU0073,Amar Menon,Amar,Menon,2025,B.Sc,Computer Science and Engineering,Amazon,Senior Software Engineer,amar.menon73@gmail.com,+91 8861968817,No,0,0.6247448979591836,62.47
ALU0913,Tejas Nair,Tejas,Nair,2025,B.E.,Computer Science and Engineering,Infosys,Senior Software Engineer,tejas.nair913@yahoo.com,+91 9567822451,No,0,0.6247448979591836,62.47
ALU0414,Vishal Gupta,Vishal,Gupta,2025,B.E.,Computer Science and Engineering,SAP,Senior Software Engineer,vishal.gupta414@yahoo.com,+91 8114227340,No,0,0.6247448979591836,62.47
ALU0037,Ashwin Iyer,Ashwin,Iyer,2016,B.Tech,Computer Engineering,Cognizant,DevOps Engineer,ashwin.iyer37@yahoo.com,+91 9597724331,Yes,1,0.6182692307692308,61.83
ALU0638,Aditya Bhat,Aditya,Bhat,2025,B.Tech,Electronics and Communication Engineering,Bosch,Project Engineer,aditya.bhat638@proton.me,+91 7195387472,No,0,0.6137863347811561,61.38
ALU0270,Vishal Pillai,Vishal,Pillai,2015,B.Tech,Computer Engineering,PwC,Project Engineer,vishal.pillai270@gmail.com,+91 7071838242,No,0,0.613391181988743,61.34
ALU0886,Kavya Menon,Kavya,Menon,2020,B.Tech,Computer Science and Engineering,SAP,Data Scientist,kavya.menon886@proton.me,+91 8279733229,Yes,1,0.610576923076923,61.06
ALU0569,Aditi Das,Aditi,Das,2016,B.E.,Civil Engineering,Deloitte,Machine Learning Engineer,aditi.das569@yahoo.com,+91 8884283304,Yes,1,0.6089285714285714,60.89
ALU0600,Nikhil Patel,Nikhil,Patel,2019,M.Tech,Civil Engineering,TCS,Machine Learning Engineer,nikhil.patel600@outlook.com,+91 9310715848,Yes,1,0.6089285714285714,60.89
ALU0305,Divya Bhat,Divya,Bhat,2016,B.Sc,Civil Engineering,KPMG,Machine Learning Engineer,divya.bhat305@proton.me,+91 9625549685,No,0,0.6089285714285714,60.89
ALU0917,Karthik Gupta,Karthik,Gupta,2020,B.E.,Civil Engineering,Bosch,Machine Learning Engineer,karthik.gupta917@gmail.com,+91 9971451918,Yes,1,0.6089285714285714,60.89
ALU0346,Bhavana Naidu,Bhavana,Naidu,2015,MCA,Electrical and Electronics Engineering,Deloitte,Machine Learning Engineer,bhavana.naidu346@outlook.com,+91 8787808459,No,0,0.6089285714285714,60.89
ALU0257,Sneha Pillai,Sneha,Pillai,2015,B.Sc,Electrical and Electronics Engineering,KPMG,Machine Learning Engineer,sneha.pillai257@proton.me,+91 8753459822,Yes,1,0.6089285714285714,60.89
ALU0509,Vishal Rao,Vishal,Rao,2024,MCA,Computer Science and Engineering,Walmart Global Tech,Project Engineer,vishal.rao509@proton.me,+91 8590759039,Yes,1,0.6076219512195122,60.76
ALU0773,Sahana Patel,Sahana,Patel,2019,B.Tech,Computer Science (Data Science),Tech Mahindra,Software Engineer,sahana.patel773@gmail.com,+91 7531689268,Yes,1,0.606547619047619,60.65
ALU0424,Akash Das,Akash,Das,2018,MBA,Mechanical Engineering,TCS,Machine Learning Engineer,akash.das424@outlook.com,+91 7076949178,Yes,1,0.6041666666666666,60.42
ALU0651,Neha Singh,Neha,Singh,2018,B.Sc,Artificial Intelligence and Machine Learning,PwC,Machine Learning Engineer,neha.singh651@proton.me,+91 9882455823,Yes,1,0.6032894736842106,60.33
ALU0585,Pranav Bhat,Pranav,Bhat,2022,M.Tech,Computer Science and Engineering,Infosys,Cloud Engineer,pranav.bhat585@gmail.com,+91 9223115272,Yes,1,0.6006410256410256,60.06
ALU0114,Varun Iyer,Varun,Iyer,2022,B.Sc,Computer Science and Engineering,Google,Cloud Engineer,varun.iyer114@outlook.com,+91 7317234448,No,0,0.6006410256410256,60.06
ALU0090,Riya Chowdhury,Riya,Chowdhury,2022,B.Sc,Computer Science and Engineering,Deloitte,Cloud Engineer,riya.chowdhury90@yahoo.com,+91 8950049698,Yes,1,0.6006410256410256,60.06
ALU0431,Naveen Shetty,Naveen,Shetty,2025,B.Tech,Computer Engineering,HCLTech,Technical Consultant,naveen.shetty431@outlook.com,+91 8798842890,Yes,1,0.5999358974358975,59.99
ALU0275,Ravi Gupta,Ravi,Gupta,2024,B.Tech,Computer Engineering,Infosys,Full Stack Developer,ravi.gupta275@outlook.com,+91 9973353078,No,0,0.5999358974358975,59.99
ALU0345,Isha Menon,Isha,Menon,2015,B.Tech,Computer Science and Engineering,Deloitte,Software Developer,isha.menon345@proton.me,+91 8563267151,No,0,0.5991279069767441,59.91
ALU0447,Neha Patel,Neha,Patel,2022,MBA,Computer Science and Engineering,Accenture,QA Engineer,neha.patel447@proton.me,+91 7153896961,Yes,1,0.5972222222222222,59.72
ALU0548,Anil Sharma,Anil,Sharma,2022,MCA,Computer Science and Engineering,TCS,QA Engineer,anil.sharma548@gmail.com,+91 7446369090,No,0,0.5972222222222222,59.72
ALU0856,Yash Patel,Yash,Patel,2021,MCA,Computer Science and Engineering,TCS,QA Engineer,yash.patel856@gmail.com,+91 7057142828,Yes,1,0.5972222222222222,59.72
ALU0062,Harish Shetty,Harish,Shetty,2021,MCA,Computer Science and Engineering,Cognizant Technology Solutions,QA Engineer,harish.shetty62@proton.me,+91 7025323460,No,0,0.5972222222222222,59.72
ALU0720,Swathi Mishra,Swathi,Mishra,2020,M.Tech,Electronics and Communication Engineering,Walmart Global Tech,Machine Learning Engineer,swathi.mishra720@outlook.com,+91 7473017075,No,0,0.5936643835616439,59.37
ALU0176,Karthik Mehta,Karthik,Mehta,2016,B.Sc,Electronics and Communication Engineering,TCS,Machine Learning Engineer,karthik.mehta176@gmail.com,+91 9791559885,No,0,0.5936643835616439,59.37
ALU0225,Lakshmi Kumar,Lakshmi,Kumar,2017,MCA,Electronics and Communication Engineering,PwC,Machine Learning Engineer,lakshmi.kumar225@proton.me,+91 9256907178,No,0,0.5936643835616439,59.37
ALU0362,Amar Singh,Amar,Singh,2025,M.Tech,Information Technology,Wipro,Machine Learning Engineer,amar.singh362@gmail.com,+91 7183379287,No,0,0.5902777777777778,59.03
ALU0048,Kavya Kumar,Kavya,Kumar,2021,B.Tech,Computer Engineering,PwC,Backend Developer,kavya.kumar48@yahoo.com,+91 8852408227,Yes,1,0.5891025641025641,58.91
ALU0750,Madhav Mishra,Madhav,Mishra,2025,B.E.,Business Administration,Google,Machine Learning Engineer,madhav.mishra750@gmail.com,+91 9057208724,Yes,1,0.5888636363636364,58.89
ALU0158,Yash Mishra,Yash,Mishra,2025,MBA,Business Administration,LTIMindtree,Machine Learning Engineer,yash.mishra158@outlook.com,+91 8888766939,Yes,1,0.5888636363636364,58.89
ALU0323,Nikhil Das,Nikhil,Das,2024,B.E.,Business Administration,EY,Machine Learning Engineer,nikhil.das323@gmail.com,+91 7197323378,Yes,1,0.5888636363636364,58.89
ALU0948,Aditya Naidu,Aditya,Naidu,2019,B.Tech,Computer Science and Engineering,Walmart Global Tech,Business Analyst,aditya.naidu948@proton.me,+91 9812641768,Yes,1,0.5850609756097561,58.51
ALU0039,Varun Shetty,Varun,Shetty,2019,B.Tech,Computer Science and Engineering,LTIMindtree,Business Analyst,varun.shetty39@yahoo.com,+91 7693989311,No,0,0.5850609756097561,58.51
ALU0728,Srinivas Reddy,Srinivas,Reddy,2021,B.Tech,Computer Science and Engineering,EY,Product Analyst,srinivas.reddy728@gmail.com,+91 8828357471,No,0,0.585,58.5
ALU0769,Amar Patel,Amar,Patel,2017,B.Tech,Civil Engineering,Oracle,Cloud Engineer,amar.patel769@yahoo.com,+91 7597060483,No,0,0.584569597069597,58.46
ALU0274,Priya Mehta,Priya,Mehta,2023,M.Tech,Computer Science and Engineering,SAP,Software Engineer,priya.mehta274@outlook.com,+91 7355134188,No,0,0.5845238095238094,58.45
ALU0654,Tejas Gupta,Tejas,Gupta,2023,M.Tech,Computer Science and Engineering,Cognizant,Software Engineer,tejas.gupta654@proton.me,+91 9901232981,Yes,1,0.5845238095238094,58.45
ALU0604,Vishal Joshi,Vishal,Joshi,2016,B.Tech,Artificial Intelligence and Machine Learning,SAP,QA Engineer,vishal.joshi604@outlook.com,+91 8635099223,Yes,1,0.5755116959064328,57.55
ALU0206,Srinivas Kumar,Srinivas,Kumar,2015,B.Tech,Computer Science and Engineering,SAP,Database Administrator,srinivas.kumar206@yahoo.com,+91 9796581976,Yes,1,0.5726063829787233,57.26
ALU0941,Akhil Verma,Akhil,Verma,2023,MCA,Computer Science and Engineering,Amazon,Systems Engineer,akhil.verma941@outlook.com,+91 7860590754,Yes,1,0.5701219512195121,57.01
ALU0797,Charan Reddy,Charan,Reddy,2023,B.Sc,Computer Science and Engineering,Google,Project Engineer,charan.reddy797@proton.me,+91 8145119397,Yes,1,0.5701219512195121,57.01
ALU0677,Varun Sharma,Varun,Sharma,2025,MBA,Computer Engineering,Cognizant Technology Solutions,Cloud Engineer,varun.sharma677@gmail.com,+91 8475519583,Yes,1,0.5689102564102564,56.89
ALU0603,Aditi Chowdhury,Aditi,Chowdhury,2019,B.Tech,Civil Engineering,SAP,Software Engineer,aditi.chowdhury603@gmail.com,+91 8669218196,No,0,0.5684523809523809,56.85
ALU0474,Nandini Das,Nandini,Das,2023,B.Tech,Computer Science (Data Science),Capgemini,Backend Developer,nandini.das474@proton.me,+91 7446362270,Yes,1,0.5678571428571428,56.79
ALU0246,Anusha Mishra,Anusha,Mishra,2022,B.Tech,Computer Engineering,Google,Software Developer,anusha.mishra246@proton.me,+91 7566696611,No,0,0.5673971377459749,56.74
ALU0844,Neha Mishra,Neha,Mishra,2017,B.E.,Computer Science and Engineering,SAP,Cloud Engineer,neha.mishra844@yahoo.com,+91 7238521095,Yes,1,0.5631410256410256,56.31
ALU0180,Sai Chowdhury,Sai,Chowdhury,2023,B.Tech,Computer Engineering,Cognizant Technology Solutions,Full Stack Developer,sai.chowdhury180@outlook.com,+91 8251003660,No,0,0.5624358974358974,56.24
ALU0504,Tarun Mishra,Tarun,Mishra,2025,B.Tech,Artificial Intelligence and Machine Learning,Wipro,Backend Developer,tarun.mishra504@proton.me,+91 9605008864,No,0,0.561622807017544,56.16
ALU0788,Tejas Chowdhury,Tejas,Chowdhury,2016,B.Tech,Computer Engineering,EY,Associate Consultant,tejas.chowdhury788@outlook.com,+91 8260843171,No,0,0.560491452991453,56.05
ALU0572,Tarun Das,Tarun,Das,2017,B.Tech,Computer Engineering,Cognizant,Associate Consultant,tarun.das572@yahoo.com,+91 8131076509,No,0,0.560491452991453,56.05
ALU0644,Pooja Sharma,Pooja,Sharma,2017,B.Sc,Computer Science and Engineering,LTIMindtree,QA Engineer,pooja.sharma644@outlook.com,+91 9452347464,No,0,0.5597222222222222,55.97
ALU0694,Kavya Naidu,Kavya,Naidu,2016,B.Sc,Computer Science and Engineering,Microsoft,QA Engineer,kavya.naidu694@yahoo.com,+91 7257949939,No,0,0.5597222222222222,55.97
ALU0463,Karthik Menon,Karthik,Menon,2019,MBA,Computer Science and Engineering,Microsoft,QA Engineer,karthik.menon463@proton.me,+91 9942691532,No,0,0.5597222222222222,55.97
ALU0261,Priya Chowdhury,Priya,Chowdhury,2024,B.Tech,Computer Science (Data Science),Capgemini,Database Administrator,priya.chowdhury261@outlook.com,+91 9058982440,Yes,1,0.5571301925025329,55.71
ALU0485,Meera Sharma,Meera,Sharma,2019,B.Tech,Electronics and Communication Engineering,Cognizant Technology Solutions,Senior Software Engineer,meera.sharma485@yahoo.com,+91 8533897596,Yes,1,0.5559092815208275,55.59
ALU0309,Varun Das,Varun,Das,2025,B.E.,Computer Engineering,IBM,Senior Software Engineer,varun.das309@yahoo.com,+91 7602569046,Yes,1,0.5555141287284144,55.55
ALU0792,Srinivas Pillai,Srinivas,Pillai,2025,MCA,Computer Engineering,Cognizant Technology Solutions,Senior Software Engineer,srinivas.pillai792@proton.me,+91 9414868603,Yes,1,0.5555141287284144,55.55
ALU0315,Lakshmi Verma,Lakshmi,Verma,2019,B.Tech,Civil Engineering,HCLTech,Systems Engineer,lakshmi.verma315@gmail.com,+91 8885790857,Yes,1,0.5540505226480836,55.41
ALU0781,Meera Shetty,Meera,Shetty,2018,B.Tech,Civil Engineering,Walmart Global Tech,Systems Engineer,meera.shetty781@outlook.com,+91 7054914778,No,0,0.5540505226480836,55.41
ALU0189,Pranav Menon,Pranav,Menon,2019,B.Tech,Electrical and Electronics Engineering,Wipro,Project Engineer,pranav.menon189@outlook.com,+91 9342794700,No,0,0.5540505226480836,55.41
ALU0926,Aditi Das,Aditi,Das,2024,B.Sc,Computer Engineering,Google,Software Engineer,aditi.das926@proton.me,+91 9752929233,Yes,1,0.5527930402930403,55.28
ALU0282,Manoj Rao,Manoj,Rao,2021,MBA,Information Technology,Microsoft,Machine Learning Engineer,manoj.rao282@yahoo.com,+91 7457632732,Yes,1,0.5527777777777778,55.28
ALU0239,Ananya Mehta,Ananya,Mehta,2025,B.Tech,Information Technology,Cognizant,Senior Software Engineer,ananya.mehta239@yahoo.com,+91 8065354117,Yes,1,0.5525226757369615,55.25
ALU0937,Swathi Singh,Swathi,Singh,2016,B.Tech,Computer Science and Engineering,Bosch,Data Analyst,swathi.singh937@outlook.com,+91 9461927364,Yes,1,0.5523648648648648,55.24
ALU0955,Varun Mishra,Varun,Mishra,2025,B.Tech,Electronics and Communication Engineering,Deloitte,Backend Developer,varun.mishra955@proton.me,+91 8006674160,No,0,0.5519977168949772,55.2
ALU0081,Keerthi Singh,Keerthi,Singh,2020,B.Tech,Computer Engineering,IBM,Backend Developer,keerthi.singh81@outlook.com,+91 9079617090,No,0,0.5516025641025641,55.16
ALU0724,Ashwin Kumar,Ashwin,Kumar,2024,B.Tech,Artificial Intelligence and Machine Learning,Cognizant,Data Scientist,ashwin.kumar724@proton.me,+91 8969581487,No,0,0.5513663967611335,55.14
ALU0643,Lakshmi Kumar,Lakshmi,Kumar,2023,B.Sc,Business Administration,Walmart Global Tech,Machine Learning Engineer,lakshmi.kumar643@gmail.com,+91 7894480510,No,0,0.5513636363636364,55.14
